Farm_ID,Region,Crop_Type,Planting_Date,Harvest_Date,Area_ha,Yield_kg,Irrigation_Type,Soil_Type,Fertilizer_Used,Pesticide_Used,Rainfall_mm,Avg_Temperature_C,Farmer_Age,Organic
1,suoth,Soy,02/08/2023,29/12/2023,49.94,124319,Dr ip,Si lt,organik,Insecticide,1473.4,19.2,32,no
2,West,rice,16/08/2020,13/12/2020,3.22,10133,Sprink ler,Silt,Nitrogn-based,none,1555,31.7,59,yes
3,west,Cotton,21/02/2020,11/07/2020,29.14,57217,Flood,Loam,organik,None,918.7,18.1,52,no
4,suoth,rice,27/02/2024,15/08/2024,4.59,22377,Sprinkler,loam,mixd,MIXED,1988.1,13.8,39,No
5,East,Corn,17/07/2021,07/11/2021,8.15,50157,None,Silt,Nitrogn-based,herbicide,1564.5,26,53,No
6,west,Corn,16/05/2021,06/09/2021,22.26,114770,sprnkler,loam,organik,Insecticide,1199.5,11.1,28,no
7,west,Soy,02/04/2021,20/09/2021,25.77,54981,none,sand,none,mixed,1875,19.5,58,Yes
8,suoth,wheat,12/10/2020,04/04/2021,13.31,50342,sprnkler,Silt,Phyosphate-based,Mixed,1825.6,30.2,61,No
9,South,cotton,17/02/2024,11/07/2024,16.16,36299,Sprink ler,San dy,organik,Nne,1647.7,17.4,48,no
10,East,rice,28/07/2020,15/12/2020,4.8,16574,Nne,Si lt,Mi xed,Insectcide,1171,33.3,45,No
11,suoth,Corn,17/10/2023,18/01/2024,15.51,81534,Flood,Loam,nitrogen based,fungicid,1101.5,33.9,26,No
12,East,corn,25/02/2024,11/08/2024,48.34,252458,Floo d,silt,ORGANIC,fungicid,724.5,30.4,31,no
13,East,Rice,01/01/2025,26/04/2025,47.26,170983,Flood,San dy,Phosphate-based,Fungi cide,576.7,34.7,35,Yes
14,west,cotton,21/01/2023,17/06/2023,17.08,35943,dripp,PEAT,ORGANIC,Insectcide,1073.5,23.3,36,No
15,West,corn,27/06/2020,09/12/2020,28.76,167660,sprnkler,sand,Mixed,Herbicide,1197.8,24.2,28,no
16,East,cotton,24/04/2023,15/09/2023,45.52,86994,Floo d,Cl ay,ORGANIC,Insectcide,564.6,30.9,59,no
17,Soth,corn,14/05/2022,30/09/2022,0.81,4784,dripp,Si lt,Mi xed,Fungicide,1852.9,22.3,64,no
18,west,barlay,06/03/2020,04/06/2020,40.63,83809,Flood,Lom,Phosphate-based,Fungicide,1158.8,20.2,50,no
19,South,Cotton,02/03/2020,29/08/2020,47.44,126450,None,loam,Mixed,none,1100.4,25.4,42,Yes
20,West,wheat,10/07/2020,04/11/2020,5.02,15189,None,Cly,Non,none,927.7,26.4,61,Yes
21,Soth,corn,23/03/2021,17/07/2021,8.49,49282,SPRINKLER,Cly,ORGANIC,mixed,210.3,28.8,40,no
22,Soth,Barley,21/04/2021,24/08/2021,48.06,138980,SPRINKLER,sand,phosphate based,Herbicide,1776.6,26.7,36,no
23,South,corn,31/10/2022,29/04/2023,27.11,118805,SPRINKLER,Peat,Phosphate-based,Herbicid,702.3,28.6,65,no
24,West,Wheat,17/05/2023,23/08/2023,1.2,3580,Floo d,loam,organik,Fungi cide,1320.7,26.9,64,no
25,west,Wheat,24/02/2020,05/08/2020,13.25,28364,None,Clay,Nitrogen-based,Insecticide,1254.1,22,61,no
