farm_id,region,crop_type,planting_date,harvest_date,area_ha,yield_kg,irrigation_type,soil_type,fertilizer_used,pesticide_used,rainfall_mm,avg_temperature_c,farmer_age,organic,planting_year,harvest_year,planting_month,growing_days,days_since_harvest
1,South,Soybean,2023-08-02,2023-12-29,49.94,124319,Drip,Silt,Organic,Insecticide,1473.4,19.2,32,no,2023,2023,2023-08,149,530
2,West,Rice,2020-08-16,2020-12-13,3.22,10133,Sprinkler,Silt,Nitrogen-based,None,1555.0,31.7,59,yes,2020,2020,2020-08,119,1641
3,West,Cotton,2020-02-21,2020-07-11,29.14,57217,Flood,Loam,Organic,Unknown,918.7,18.1,52,no,2020,2020,2020-02,141,1796
4,South,Rice,2024-02-27,2024-08-15,4.59,22377,Sprinkler,Loam,Mixed,Mixed,1988.1,13.8,39,No,2024,2024,2024-02,170,300
5,East,Corn,2021-07-17,2021-11-07,8.15,50157,Unknown,Silt,Nitrogen-based,Herbicide,1564.5,26.0,53,No,2021,2021,2021-07,113,1312
6,West,Corn,2021-05-16,2021-09-06,22.26,114770,Sprinkler,Loam,Organic,Insecticide,1199.5,11.1,28,no,2021,2021,2021-05,113,1374
7,West,Soybean,2021-04-02,2021-09-20,25.77,54981,None,Sandy,None,Mixed,1875.0,19.5,58,Yes,2021,2021,2021-04,171,1360
8,South,Wheat,2020-10-12,2021-04-04,13.31,50342,Sprinkler,Silt,Phosphate-based,Mixed,1825.6,30.2,61,No,2020,2021,2020-10,174,1529
9,South,Cotton,2024-02-17,2024-07-11,16.16,36299,Sprinkler,Sandy,Organic,None,1647.7,17.4,48,no,2024,2024,2024-02,145,335
10,East,Rice,2020-07-28,2020-12-15,4.8,16574,None,Silt,Mixed,Insecticide,1171.0,33.3,45,No,2020,2020,2020-07,140,1639
11,South,Corn,2023-10-17,2024-01-18,15.51,81534,Flood,Loam,Nitrogen-based,Fungicide,1101.5,33.9,26,No,2023,2024,2023-10,93,510
12,East,Corn,2024-02-25,2024-08-11,48.34,252458,Flood,Silt,Organic,Fungicide,724.5,30.4,31,no,2024,2024,2024-02,168,304
13,East,Rice,2025-01-01,2025-04-26,47.26,170983,Flood,Sandy,Phosphate-based,Fungicide,576.7,34.7,35,Yes,2025,2025,2025-01,115,46
14,West,Cotton,2023-01-21,2023-06-17,17.08,35943,Drip,Peat,Organic,Insecticide,1073.5,23.3,36,No,2023,2023,2023-01,147,725
15,West,Corn,2020-06-27,2020-12-09,28.76,167660,Sprinkler,Sandy,Mixed,Herbicide,1197.8,24.2,28,no,2020,2020,2020-06,165,1645
16,East,Cotton,2023-04-24,2023-09-15,45.52,86994,Flood,Clay,Organic,Insecticide,564.6,30.9,59,no,2023,2023,2023-04,144,635
17,South,Corn,2022-05-14,2022-09-30,0.81,4784,Drip,Silt,Mixed,Fungicide,1852.9,22.3,64,no,2022,2022,2022-05,139,985
18,West,Barley,2020-03-06,2020-06-04,40.63,83809,Flood,Loam,Phosphate-based,Fungicide,1158.8,20.2,50,no,2020,2020,2020-03,90,1833
19,South,Cotton,2020-03-02,2020-08-29,47.44,126450,Unknown,Loam,Mixed,None,1100.4,25.4,42,Yes,2020,2020,2020-03,180,1747
20,West,Wheat,2020-07-10,2020-11-04,5.02,15189,Unknown,Clay,None,None,927.7,26.4,61,Yes,2020,2020,2020-07,117,1680
21,South,Corn,2021-03-23,2021-07-17,8.49,49282,Sprinkler,Clay,Organic,Mixed,210.3,28.8,40,no,2021,2021,2021-03,116,1425
22,South,Barley,2021-04-21,2021-08-24,48.06,138980,Sprinkler,Sandy,Phosphate-based,Herbicide,1776.6,26.7,36,no,2021,2021,2021-04,125,1387
23,South,Corn,2022-10-31,2023-04-29,27.11,118805,Sprinkler,Peat,Phosphate-based,Herbicide,702.3,28.6,65,no,2022,2023,2022-10,180,774
24,West,Wheat,2023-05-17,2023-08-23,1.2,3580,Flood,Loam,Organic,Fungicide,1320.7,26.9,64,no,2023,2023,2023-05,98,658
25,West,Wheat,2020-02-24,2020-08-05,13.25,28364,Unknown,Clay,Nitrogen-based,Insecticide,1254.1,22.0,61,no,2020,2020,2020-02,163,1771
26,North,Soybean,2023-02-23,2023-06-06,22.77,62802,Drip,Clay,Organic,Herbicide,1210.5,13.4,43,yes,2023,2023,2023-02,103,736
27,West,Barley,2021-02-11,2021-07-19,34.8,100272,Flood,Silt,Phosphate-based,Insecticide,1098.9,29.6,39,no,2021,2021,2021-02,158,1423
28,South,Wheat,2024-01-06,2024-04-28,36.79,107198,None,Loam,Organic,Insecticide,444.7,10.8,46,no,2024,2024,2024-01,113,409
29,South,Barley,2023-08-23,2024-01-06,49.77,155089,Sprinkler,Loam,Organic,Insecticide,633.2,34.8,44,No,2023,2024,2023-08,136,522
30,West,Rice,2023-12-07,2024-04-16,14.73,59251,Sprinkler,Sandy,Organic,Mixed,1096.0,30.7,67,No,2023,2024,2023-12,131,421
31,West,Barley,2023-01-21,2023-05-16,27.14,82909,None,Sandy,Nitrogen-based,Herbicide,1599.8,26.8,37,no,2023,2023,2023-01,115,757
